Detector: D400278
DataExportDate: Friday, February 09, 2024
Start Time: 11:16:33
End Time: 11:25:09
Measurement Duration 00:08:36
Start Temperature 27.00 / 27.00 degree-C
End Temperature 27.25 / 27.00 degree-C
Applied Bias 3299 V
Opal Kelly XEM3010
RadiationSource: Cs-137
BinsPerPixel: 1500
TotalPixels: 121
PixelsWithCounts: 111
RawFWHM: 2.6
SteeringScore: 12.3
UncorrectedSteering: 16.1
NoiseLevel: 11.0
GainDeficitResults: 13 pixels 75 bins from peak, 13 at 50 bins, 22 at 25 bins, 42 at 10 bins
