Detector: D400278
DataExportDate: Friday, February 09, 2024
Start Time: 11:14:08
End Time: 11:16:18
Measurement Duration 00:02:10
Start Temperature 26.50 / 26.50 degree-C
End Temperature 26.75 / 26.50 degree-C
Applied Bias 3299 V
Opal Kelly XEM3010
RadiationSource: Am-241
BinsPerPixel: 200
TotalPixels: 121
PixelsWithCounts: 120
CathodeTriggers: 49
H3D_Pixel,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,24,33,45,29,35,37,44,35,31,38,35,35,30,32,31,23,29,21,32,31,19,31,21,21,20,22,20,11,19,12,10,15,9,6,9,12,15,14,11,6,12,7,7,11,7,10,18,12,6,7,5,10,9,8,6,8,5,1,4,6,4,5,1,4,1,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,20,13,7,17,7,17,16,20,20,26,28,36,38,33,33,34,40,31,45,43,33,30,38,38,41,32,34,36,28,34,33,36,27,21,24,28,24,21,20,17,23,11,19,17,31,22,16,19,15,20,16,9,15,12,16,19,7,13,10,12,10,10,8,8,12,11,9,7,8,11,13,18,7,13,8,6,6,8,6,6,8,5,3,7,4,4,5,7,8,6,3,4,3,4,2,3,1,4,4,4,2,3,1,3,3,5,2,3,3,0,2,2,2,3,3,3,0,1,2,4,4,2,1,2,4,1,1,0,1,1,0,0,1,2,0,1,2,1,3,2,2,1,1,0,0,1,0,2,1,2,1,1,0,0,0,0,2,0,3,3,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,11,13,11,16,20,13,16,21,13,14,10,12,12,8,7,13,15,7,12,7,11,17,7,16,11,12,7,8,10,13,11,12,5,14,9,10,19,15,16,15,20,21,14,16,21,34,33,22,19,30,30,31,28,33,23,27,22,19,12,15,12,6,18,6,5,7,8,2,6,2,2,3,3,3,6,2,5,5,5,4,4,3,3,0,2,5,2,5,3,3,5,1,2,4,2,3,7,3,1,6,2,8,2,2,0,4,1,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,21,8,15,24,16,11,11,11,12,17,12,12,11,9,7,11,5,7,7,9,18,4,16,19,9,15,13,21,16,16,12,14,17,24,22,20,19,22,24,26,23,29,31,30,27,46,43,41,37,42,49,45,41,35,28,22,20,17,16,17,7,7,10,6,4,9,7,6,4,4,4,8,7,4,3,4,6,10,4,5,3,3,3,11,4,5,3,7,3,7,3,4,5,1,5,7,5,3,3,4,3,3,3,5,3,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,21,16,15,20,31,19,16,10,23,12,14,17,16,17,13,9,15,10,13,7,9,16,17,18,18,21,21,10,20,24,30,27,32,27,34,28,28,46,40,43,40,52,40,51,45,56,52,58,55,62,63,50,53,35,32,38,16,18,16,18,14,13,10,10,14,8,9,5,3,6,11,8,4,4,8,9,6,8,11,5,5,6,7,6,6,9,6,10,8,4,3,7,10,7,12,11,9,4,7,4,4,3,3,2,0,3,4,2,0,5,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13,24,10,7,18,12,16,10,15,19,6,13,15,8,10,12,14,13,10,10,13,8,11,16,11,14,11,10,16,12,13,14,18,20,17,22,15,15,28,26,29,27,35,24,43,39,36,47,36,47,42,47,61,54,53,54,39,50,39,33,32,22,16,10,10,7,7,8,8,12,7,1,5,4,2,5,10,4,3,5,7,6,4,4,7,5,1,3,0,2,11,4,5,2,5,10,4,9,4,7,5,6,8,2,3,6,11,4,4,2,0,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,7,5,15,13,9,22,11,8,11,11,10,13,13,6,18,20,13,14,16,20,14,15,17,12,22,19,16,22,23,24,20,22,27,29,26,36,40,35,34,40,38,46,58,59,42,42,31,42,37,27,17,19,22,22,17,8,12,14,5,7,2,6,8,2,5,8,5,3,3,6,5,4,8,6,5,4,5,3,8,7,4,5,6,5,7,5,5,2,5,5,9,6,7,6,6,3,1,5,2,2,3,2,1,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,23,19,19,14,12,10,12,16,13,20,13,18,12,8,17,14,5,3,7,12,8,8,7,13,12,6,12,10,13,12,11,7,6,7,13,16,5,14,12,8,16,13,15,24,21,15,28,29,32,35,24,35,35,45,41,53,42,32,41,29,22,19,14,21,19,6,14,8,13,3,6,5,2,8,9,6,5,6,3,5,1,3,5,6,3,3,3,6,1,3,7,5,6,1,5,4,7,3,3,7,10,1,4,2,6,4,2,4,4,4,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,21,21,23,15,32,27,23,18,29,29,20,19,24,30,22,14,14,22,17,19,13,25,13,18,19,22,23,21,15,18,18,12,20,18,16,19,13,17,10,16,13,14,11,9,9,14,15,7,4,11,12,13,3,3,1,6,1,3,4,7,1,4,3,3,3,2,5,2,2,3,7,2,3,4,2,1,1,3,1,3,5,3,3,1,2,5,1,0,0,0,0,2,0,0,1,0,0,3,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,15,12,10,20,13,8,14,12,10,12,12,19,15,8,7,8,5,9,7,3,11,8,9,10,6,9,5,8,9,13,10,7,11,8,10,4,13,13,17,17,12,12,14,15,23,17,24,27,37,36,34,53,26,41,23,19,21,11,3,16,11,7,4,7,5,5,4,7,3,3,4,4,9,1,2,1,1,6,7,1,2,3,1,4,4,3,4,0,1,3,6,1,2,2,4,2,2,4,1,4,3,2,2,2,1,1,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
