Detector: D394534
DataExportDate: Friday, February 09, 2024
Start Time: 10:08:41
End Time: 10:11:04
Measurement Duration 00:02:23
Start Temperature 26.00 / 26.00 degree-C
End Temperature 26.50 / 26.00 degree-C
Applied Bias 3299 V
Opal Kelly XEM3010
RadiationSource: Am-241
BinsPerPixel: 200
TotalPixels: 121
PixelsWithCounts: 119
CathodeTriggers: 42
H3D_Pixel,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,7,10,12,6,7,4,6,3,4,4,7,6,7,9,14,6,4,6,6,7,10,4,5,4,7,6,5,5,4,3,9,10,9,9,4,5,4,8,12,6,8,7,4,15,12,7,8,11,14,19,12,16,14,29,18,17,15,11,17,14,12,6,12,9,8,8,9,3,2,6,5,5,6,3,2,1,0,5,0,2,2,4,7,3,1,0,5,1,1,2,3,2,2,1,3,1,1,2,2,4,2,0,3,1,4,1,1,1,3,1,2,3,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,16,14,17,19,34,32,40,33,31,31,29,34,34,29,28,26,25,28,19,20,23,21,20,18,29,11,18,18,19,11,13,12,9,14,14,23,13,10,12,12,7,12,12,9,16,4,4,5,7,4,6,2,3,1,5,7,5,4,2,7,2,4,4,4,6,5,2,6,6,3,2,6,0,3,4,3,2,10,6,5,3,1,7,4,5,1,2,2,5,3,4,4,3,0,2,2,1,1,3,2,2,2,6,3,1,4,5,2,1,2,0,5,1,4,6,1,1,0,3,1,2,1,3,3,2,1,1,2,2,2,2,5,3,1,0,0,1,0,0,0,2,2,0,2,2,1,0,0,0,1,0,2,1,2,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,3,1,6,2,5,8,4,7,7,4,8,4,2,2,7,6,5,5,8,3,2,3,3,6,6,6,4,3,5,8,6,1,7,9,7,5,10,6,9,7,7,14,13,13,9,11,13,10,19,15,14,19,17,15,12,11,13,13,13,15,8,5,11,7,14,5,0,2,3,3,3,2,2,2,0,2,3,3,1,2,0,4,0,3,3,0,0,3,2,1,3,2,2,4,3,4,6,2,3,2,2,2,0,2,1,2,2,0,2,3,0,0,2,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,8,4,4,6,5,15,2,7,12,2,3,5,6,3,4,8,4,4,4,5,5,5,3,5,10,2,5,3,6,3,6,7,6,6,4,7,7,7,9,7,9,6,8,16,10,11,11,9,3,9,19,14,17,30,15,19,19,14,25,13,13,9,5,6,5,3,4,4,2,0,1,1,4,2,1,1,3,3,2,0,1,2,2,0,0,1,0,1,2,0,0,2,2,1,2,2,1,3,0,2,0,2,2,2,0,2,1,4,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,8,5,7,7,4,8,6,5,4,7,12,9,7,4,0,5,5,4,6,9,6,4,2,8,8,6,1,5,4,8,8,7,7,5,10,7,5,7,12,7,11,8,10,13,11,9,6,13,23,18,14,19,21,16,16,21,18,16,22,15,7,11,10,2,8,3,3,3,1,4,2,2,6,2,3,4,3,8,1,1,4,3,2,1,1,2,1,3,0,0,2,3,3,1,2,0,1,2,4,2,1,3,1,2,3,2,2,0,3,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,6,6,4,6,3,5,4,7,7,6,6,4,7,4,5,2,5,4,3,1,2,5,8,3,2,5,7,1,4,5,5,6,3,4,9,2,6,11,6,8,9,10,12,11,4,7,12,15,9,11,19,5,15,8,10,9,7,12,8,10,13,10,5,5,3,7,4,3,3,5,2,1,1,0,4,1,0,2,1,1,1,2,2,1,1,0,1,3,1,1,1,1,1,4,2,2,5,0,1,2,2,1,2,3,2,0,3,3,1,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,1,4,3,4,5,3,3,3,3,2,4,2,8,3,3,12,2,6,4,4,1,5,2,4,1,7,3,6,1,6,5,3,1,9,15,8,11,11,13,16,10,19,13,17,13,13,9,9,12,16,9,14,11,12,6,6,8,4,6,4,4,8,5,3,1,3,1,2,2,1,0,2,0,3,1,4,2,1,0,3,3,1,0,2,4,2,2,3,1,2,2,2,3,2,3,0,2,2,1,3,3,1,3,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,6,13,8,4,6,5,7,10,11,6,10,9,10,9,10,8,4,7,7,8,4,9,5,7,6,5,3,7,8,4,11,8,14,11,5,7,6,4,6,5,5,5,4,10,7,8,4,5,6,8,8,6,6,11,6,11,12,10,21,4,11,23,10,8,9,4,7,3,5,0,0,4,1,0,1,0,0,1,0,1,1,2,1,1,1,2,1,1,1,1,0,1,1,0,1,2,1,2,0,0,1,0,2,1,2,0,0,1,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,6,3,9,6,5,5,10,3,2,6,2,5,3,5,5,5,7,6,3,5,1,2,5,4,3,3,5,1,6,6,7,2,11,5,3,7,4,10,9,6,9,6,14,10,9,11,17,14,15,18,15,15,22,16,24,12,17,13,13,10,8,7,5,4,2,4,1,5,1,1,0,0,1,4,3,3,5,0,0,4,1,3,2,3,3,0,1,2,3,0,4,5,0,3,2,1,2,2,0,1,5,2,4,3,3,2,0,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,6,7,5,11,5,9,6,5,8,5,1,8,6,3,8,5,3,3,5,6,3,3,7,9,6,4,4,5,5,5,5,4,4,4,6,2,10,1,7,7,6,7,7,8,8,16,13,15,8,11,12,14,23,18,18,13,24,23,12,19,20,10,14,13,5,11,5,0,5,2,0,2,3,0,3,1,0,4,1,1,0,1,3,2,3,0,1,7,2,1,3,2,2,4,0,2,4,3,3,4,1,2,0,0,1,1,1,2,2,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
