Detector: D400280
DataExportDate: Friday, February 09, 2024
Start Time: 11:28:00
End Time: 11:30:53
Measurement Duration 00:02:53
Start Temperature 27.25 / 27.25 degree-C
End Temperature 27.00 / 27.25 degree-C
Applied Bias 3299 V
Opal Kelly XEM3010
RadiationSource: Am-241
BinsPerPixel: 200
TotalPixels: 121
PixelsWithCounts: 119
CathodeTriggers: 50
H3D_Pixel,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,5,6,9,10,9,9,8,21,8,10,5,15,4,8,13,8,7,7,10,6,12,9,6,10,8,12,7,7,6,10,8,8,6,6,7,8,8,1,5,6,3,10,4,4,3,7,2,5,3,4,1,0,2,2,1,3,5,2,1,2,4,1,0,3,2,1,1,0,2,1,2,1,2,0,0,1,2,1,1,1,1,1,1,1,0,1,0,1,2,1,1,1,0,0,2,1,1,1,3,1,0,0,0,0,1,0,1,0,1,0,0,4,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,6,19,19,23,20,20,20,20,30,25,21,16,16,13,24,14,9,14,16,9,11,6,5,13,9,3,8,7,2,5,6,4,5,6,4,8,4,4,1,1,6,3,2,1,0,1,0,1,1,3,4,1,1,1,1,0,0,0,1,2,0,1,2,2,1,1,2,1,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,11,20,17,12,9,12,13,19,15,9,10,8,6,8,11,17,4,12,8,8,5,3,5,8,5,2,3,7,3,2,2,4,2,0,3,5,5,5,2,2,3,1,2,1,1,1,5,1,1,0,0,2,3,1,2,1,1,3,0,3,0,1,0,1,0,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,13,20,13,14,19,11,12,17,14,17,15,12,13,11,10,12,17,17,17,15,12,6,16,16,8,13,9,14,16,13,9,11,8,9,10,8,21,15,11,11,7,16,14,9,11,4,9,5,5,6,4,4,2,0,2,6,3,2,5,2,3,2,2,1,3,4,1,2,5,0,4,2,1,3,2,3,4,4,3,1,0,1,2,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,12,11,13,13,17,11,22,13,17,14,13,9,10,14,16,13,14,12,7,7,15,13,7,9,10,9,17,5,8,10,10,13,14,14,11,10,15,8,13,18,17,21,18,25,27,33,34,40,30,28,49,32,24,35,18,16,19,21,7,10,6,12,9,6,8,3,5,4,2,7,3,5,3,3,5,0,2,3,6,3,5,3,6,3,1,0,3,2,2,4,1,4,2,4,6,4,8,1,2,3,4,2,3,3,2,2,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,18,11,17,19,18,22,14,21,17,10,10,16,7,7,19,14,9,6,8,6,9,8,9,7,15,8,8,10,11,9,1,10,9,10,8,3,5,2,5,3,3,1,5,3,2,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,10,7,3,5,6,10,13,11,10,7,15,7,11,7,8,10,12,13,9,16,11,13,13,15,13,13,18,14,15,12,10,22,17,19,29,29,35,22,28,25,43,31,28,28,32,28,25,16,24,19,18,19,11,14,10,9,6,6,10,4,5,5,5,5,1,5,5,7,3,3,4,9,4,3,4,4,5,3,2,0,6,3,4,2,2,10,5,3,3,8,2,0,1,3,1,3,2,1,1,4,2,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,19,11,27,12,19,12,14,8,18,14,20,15,13,8,11,8,16,10,10,8,12,11,14,16,9,10,8,9,3,8,7,11,9,10,13,4,17,19,16,14,23,13,14,31,25,28,20,30,28,38,33,35,25,36,32,28,23,15,13,7,7,6,4,2,3,5,6,5,2,7,3,3,6,3,3,3,2,0,2,4,5,2,5,4,4,3,3,0,2,7,5,2,3,7,5,3,1,5,2,3,3,3,2,4,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,11,8,22,15,19,14,15,11,17,14,9,11,9,11,14,11,12,13,13,11,18,12,16,5,13,11,10,10,15,17,15,18,16,17,23,22,23,11,27,17,28,19,30,18,16,23,24,14,12,7,8,10,5,5,4,6,2,2,3,4,4,3,5,3,3,5,2,0,2,5,4,1,1,5,3,4,1,2,1,7,3,6,3,5,2,4,4,1,2,2,4,3,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,19,14,17,21,18,27,18,20,38,24,14,18,18,22,11,12,19,17,16,11,15,8,12,15,15,10,10,8,5,10,7,7,6,1,7,2,3,4,4,3,1,2,3,5,4,1,1,3,1,2,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
